Wolverhampton Wanderers,20,4,4,12,31,45,-14,16
Nottingham Forest,20,12,4,4,29,19,10,40
Leicester City,20,3,5,12,23,44,-21,14
Southampton,20,1,3,16,12,44,-32,6
Tottenham Hotspur,20,7,3,10,42,30,12,24
Manchester United,20,6,5,9,23,28,-5,23
Ipswich Town,20,3,7,10,20,35,-15,16
Brighton & Hove Albion,20,6,10,4,30,29,1,28
Manchester City,20,10,4,6,36,27,9,34
Arsenal,20,11,7,2,39,18,21,40
Everton,19,3,8,8,15,25,-10,17
Fulham,20,7,9,4,30,27,3,30
Chelsea,20,10,6,4,39,24,15,36
Aston Villa,20,9,5,6,30,32,-2,32
Crystal Palace,20,4,9,7,21,28,-7,21
AFC Bournemouth,20,9,6,5,30,23,7,33
West Ham United,20,6,5,9,24,39,-15,23
Newcastle United,20,10,5,5,34,22,12,35
Liverpool,19,14,4,1,47,19,28,46
Brentford,20,8,3,9,38,35,3,27
